TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,VARIATION 1 TYPE,VARIATION 1 NAME,VARIATION 1 VALUES,VARIATION 2 TYPE,VARIATION 2 NAME,VARIATION 2 VALUES
Bruno Magli Womens Shoes Size 6M,"Out of the Prop Room Gallery
Bruno Magli Womens Shoes Size 6M.
Made in Italy
Leather
Measurements: Heel To Toe 9"", Width 3""
Approximate Weight: 1.00 lb
Condition: Excellent
Pre-owned",65,USD,1,"Clothing,Shoes,Women,Bruno_Magli,Leather,Women's_Shoes,Size_6M",Leather,https://img.etsystatic.com/il/6b7e79/1556570561/il_fullxfull.1556570561_zv0l.jpg?version=0,https://img.etsystatic.com/il/f68543/1509084492/il_fullxfull.1509084492_goyd.jpg?version=0,,,,,,,,,,,,,,
Tiffany & Co.  .925 Sterling Necklace,"Tiffany & Co. 925 Sterling Necklace

Markings: 925 

Tiffany & Co. 

Measurements: 16.8"" L",76.5,USD,1,"Jewelry,Necklace,925,Sterling_Necklace,Tiffany,Sterling_Silver",Silver,https://img.etsystatic.com/il/4e1b04/1556396721/il_fullxfull.1556396721_ki7f.jpg?version=0,,,,,,,,,,,,,,,
Set -Tiffany & Co. 1837 .925 Sterling Silver Ring and Bangle Set - Retired,"Retired -1837 Reproduction Design
Tiffany & Co. 925 Sterling Silver Bangle Bracelet

1997 Tiffany & Co. 925 T & Co. 1837

3 inches in diameter,
0.5 inch wide, 
weighs 56.3 grams

Materials: .925 sterling silver

Retired -1837 Reproduction Design
Tiffany & Co. .925 Sterling Silver Ring
Materials: 925 Silver
Size: 7.5
Brands/Markings: 925 Tiffany & Co.
Actual Weight(grams:): 7.9g",395,USD,1,"Jewelry,Bracelet,Tiffany,1997,1837,Steling_Silver,Bangle_Bracelet",Sterling Silver,https://img.etsystatic.com/il/ae2ed8/1509074900/il_fullxfull.1509074900_btjf.jpg?version=0,https://img.etsystatic.com/il/e13941/1556570871/il_fullxfull.1556570871_mj55.jpg?version=0,https://img.etsystatic.com/il/9c3771/1556361375/il_fullxfull.1556361375_by0m.jpg?version=0,https://img.etsystatic.com/il/f3499a/1556361301/il_fullxfull.1556361301_h1tv.jpg?version=0,https://img.etsystatic.com/il/1fe1e1/1508896422/il_fullxfull.1508896422_2hyh.jpg?version=0,,,,,,,,,,,
Solid 14K Gold Rings,"Solid 14k Gold Rings:

Twist -     1.985g
Trinity -    1.62
Flower -   2.449g 
Band -      2.653g
Triangle - 2.768g
Turquoise - .88g",110,USD,10,"Jewelry,Ring,Solid_Gold,14k,Rings,Stacker,Bands,Turquoise",Gold,https://img.etsystatic.com/il/a43f03/1556348511/il_fullxfull.1556348511_2jou.jpg?version=0,,,,,,,,,,Style,Style,"Twist,Trinity,Flower,Band,Triangle,Turquoise",,,
Solid 10kt Gold Estate Ring,"Solid 10kt Gold Ring

Marked: F with Maker's Mark

Size: 9
Total Weight: 2.09g",65,USD,1,"Jewelry,Ring,10k,Gold,Solid_Gold,Wedding_Band,Wedding,Ring",Gold,https://img.etsystatic.com/il/1fd06b/1508869616/il_fullxfull.1508869616_8mr3.jpg?version=0,,,,,,,,,,,,,,,
"Rock Revival Jeans, 27 X 34","Rock Revival Men's Jeans, 27 X 34

Cael - with tags on

These seem sized for juniors, on the narrow side, but very solidly built.",46,USD,1,"Clothing,Pants,Rock_Revival,Men's_Jeans,Juniors,Teens",Denim Canvas,https://img.etsystatic.com/il/9405df/1556320415/il_fullxfull.1556320415_9jvj.jpg?version=0,https://img.etsystatic.com/il/c30aec/1556313783/il_fullxfull.1556313783_2s04.jpg?version=0,,,,,,,,,,,,,,
"Polo Ralph Lauren Men's Shirts, Henly","Polo Ralph Lauren Men's T-Shirt, Henly, 
Sizes M, Lg, 2XL,

Still with tags and labels, unworn

Super Soft High Percale/GSM Supima Cotton Jersey Knit",10,USD,3,"Clothing,Shirt,Ralph_Lauren,Shirts,Cotton,Soft",Cotton,https://img.etsystatic.com/il/93981c/1556300211/il_fullxfull.1556300211_tubt.jpg?version=0,,,,,,,,,,Unisex shirt size,Size,"M,L,2X",,,
Juicy Couture Handbag With Lips Coin Purse,"Juicy Couture Handbag With Lips Coin Purse

Number: HJC53SH041
Dust Bag: No
Original Box: No
Measurements: aprox. 10.5"" x 5"" x 8""
Includes pink lip-shaped coin purse

Unused and perfect.",85,USD,1,"Bags_And_Purses,Juicy_Couture,Handbag,Coinpurse,lips",,https://img.etsystatic.com/il/1f25dd/1556290171/il_fullxfull.1556290171_c90l.jpg?version=0,,,,,,,,,,,,,,,
10kt White Gold 1.5g Diamond Band Ring,"10kt White Gold 1.5g Diamond Band Ring
10 Karat Solid White Gold Ring
Diamonds in Setting, 
Color: G, H 
Clarity: SI2
Size: 5.25
Total Weight: 1.5g",75,USD,1,"Jewelry,Ring,Diamond,White_Gold,Gold,Solid_Gold,10k","Diamond,White gold",https://img.etsystatic.com/il/b71b90/1508824420/il_fullxfull.1508824420_9s7l.jpg?version=0,,,,,,,,,,,,,,,
Vintage Estate Tooled Sterling Silver Hoops,"Sterling Silver Tooled Southwestern Hoop Earrings 

Markings: Unmarked 

Measurements: 1.05"" L",25,USD,1,"Jewelry,Earrings,Sterling_Silver,Hoop,Earrings",Silver,https://img.etsystatic.com/il/e119fa/1556277191/il_fullxfull.1556277191_lz23.jpg?version=0,,,,,,,,,,,,,,,
